voting_site_id,1_1_1_128_248,1_1_1_129_249,1_1_1_130_250,1_1_1_131_251,1_1_1_132_252,1_1_1_133_253,1_1_1_134_254,1_1_1_135_255,1_1_1_136_256,1_1_1_137_257,1_1_1_138_258,1_1_1_139_259,1_1_1_140_260,1_1_1_141_261,1_1_1_142_262,1_1_1_143_263,1_1_1_144_264,1_1_1_145_265,1_1_1_146_266,1_1_1_147_267,1_1_1_148_268,1_1_1_149_269,1_1_1_150_270,1_1_1_151_271,1_1_1_152_272,1_1_1_153_273,1_1_1_999_999
1002107,0,1,1,0,0,2,2,147,12,43,0,2,0,0,0,1136,2,1,0,0,1,1,1,0,0,1,1
1002108,0,2,0,1,0,1,1,82,12,34,0,3,0,0,0,946,0,0,0,1,1,0,0,0,0,0,1
1002109,1,2,0,0,0,2,5,132,16,57,1,4,0,0,1,1521,0,0,0,0,3,0,0,0,1,0,2
1002110,0,7,1,0,0,3,4,126,25,47,0,7,0,0,0,1274,1,3,1,0,2,0,0,0,2,0,3
1002111,3,1,1,1,2,1,3,59,19,48,0,0,0,4,0,1165,3,0,1,0,1,0,0,2,0,0,30
1002112,1,0,0,1,0,0,0,22,3,6,0,0,0,0,0,481,0,0,0,0,0,0,0,0,0,0,0
1002113,0,0,0,0,0,1,2,61,14,22,0,1,0,0,0,658,0,0,0,0,0,0,0,0,0,0,1
1002114,0,0,0,0,0,2,0,33,6,5,0,0,0,0,0,267,1,0,0,1,0,0,0,0,1,0,1
1002115,1,1,0,0,0,1,0,67,56,26,0,0,0,1,0,791,0,0,0,0,0,0,0,0,0,0,1
1002116,0,0,0,0,0,3,1,44,18,14,0,2,0,0,0,565,0,0,0,0,1,0,0,0,1,0,2
1002117,0,3,0,2,0,0,0,41,14,21,0,1,0,0,1,628,1,0,0,0,0,0,0,0,0,0,0
1002118,0,1,0,0,0,0,0,52,21,27,0,1,1,0,0,934,0,0,1,0,0,1,0,0,1,0,2
1002119,0,0,0,2,0,1,1,82,15,20,0,0,0,0,0,775,0,0,0,0,0,1,1,0,1,0,2
1002120,0,0,0,0,0,3,3,87,43,28,0,1,0,0,2,968,0,0,0,0,2,0,0,0,1,0,3
1002121,1,0,0,0,0,1,3,71,9,19,0,0,0,1,0,844,0,0,0,1,1,0,1,0,0,0,4
1002122,0,1,1,1,0,0,1,44,12,14,0,3,0,0,2,587,0,0,0,0,0,0,0,0,0,0,1
1002123,0,0,0,0,0,0,0,45,33,16,0,1,0,0,0,446,0,0,0,0,0,0,0,0,2,0,4
1002124,0,1,0,1,0,0,0,61,15,17,0,1,1,0,2,599,0,0,0,0,0,1,0,0,1,0,1
1002125,0,1,0,1,0,1,1,56,12,21,0,1,0,1,0,507,0,0,0,0,1,0,0,0,0,0,1
1002126,0,0,0,0,0,1,3,44,7,7,0,6,0,0,0,503,0,0,0,0,1,0,0,0,0,0,6
1002127,0,0,0,2,1,0,0,48,20,17,0,0,0,0,0,474,1,0,0,0,0,0,0,0,1,0,1
1002128,0,0,0,0,0,0,1,54,19,21,0,0,0,0,0,746,0,0,0,0,0,1,0,0,0,0,0
1002129,0,0,0,1,0,0,1,46,25,19,2,0,0,0,1,454,0,0,0,0,0,0,0,0,0,0,2
1002130,0,0,0,0,0,1,0,32,9,8,0,2,0,0,1,302,0,1,0,0,0,0,0,0,0,0,0
1002131,0,0,0,1,0,0,1,96,23,32,0,2,0,0,0,1304,0,0,1,0,2,0,0,0,0,1,1
1002132,0,0,0,0,1,0,2,92,27,16,0,1,0,0,1,580,0,0,0,0,0,0,0,0,1,0,3
1002133,0,0,0,2,0,2,2,97,33,36,0,3,0,0,0,1240,0,0,1,2,2,1,0,1,0,1,3
1002134,0,3,1,1,0,3,4,127,50,33,0,4,0,0,1,1748,0,0,0,2,0,3,1,0,1,0,19
1002135,0,0,0,0,0,0,2,40,10,9,0,1,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0
1002136,0,2,0,0,0,1,1,86,14,49,0,2,0,1,7,1122,3,2,0,0,1,0,0,0,0,0,0
1002137,0,0,0,0,0,0,1,29,2,9,0,0,0,0,0,626,0,0,0,0,0,0,0,0,0,0,1
1002138,2,3,0,1,1,0,1,116,26,33,0,1,0,0,0,1272,1,0,0,0,2,1,0,0,2,1,2
1002139,0,0,3,0,0,0,1,67,15,19,0,6,0,0,1,773,1,0,0,2,1,0,0,0,0,0,76
1002140,3,1,0,2,0,0,0,188,43,49,0,1,0,0,0,1637,0,0,0,1,1,3,1,0,0,0,2
1002141,0,0,0,1,0,0,1,79,3,6,0,0,0,0,0,464,0,0,0,0,0,0,0,0,0,0,2
1002142,0,1,0,1,0,3,0,48,18,11,0,0,0,0,0,682,0,0,0,0,0,1,0,0,0,0,1
1002143,1,2,0,1,0,0,1,62,5,15,0,0,0,0,1,430,0,0,0,0,1,0,0,0,0,0,2
1002144,0,0,0,0,0,0,1,16,0,3,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0
1002145,0,1,0,2,0,0,0,44,11,27,0,2,0,0,1,546,0,0,0,0,1,0,0,0,0,0,0
1002146,0,1,0,0,0,0,1,75,43,15,0,0,0,0,0,816,0,0,0,1,1,0,0,0,0,0,2
1002147,0,1,0,0,0,1,1,96,31,27,0,3,0,0,0,915,0,1,0,0,1,0,0,0,1,0,0
1002148,0,1,0,0,0,0,1,44,10,9,0,0,0,0,0,349,0,0,0,2,0,0,0,0,0,0,0
1002149,0,1,0,0,0,0,2,103,36,36,0,2,2,0,3,952,0,0,0,0,0,0,0,0,0,0,3
1002150,1,1,0,0,1,0,2,113,62,82,0,1,0,0,0,1423,0,0,0,0,1,1,0,0,0,0,3
